region,school_name,closure_year,local_office,school_level,utilization_status,address,years_since_closure,closure_risk_index
gyeongbook,오릉초등학교,2010,경주,초,자체활용,경주시 탑동 676-2,15,0.40000000000000013
gyeongbook,오산초,1992,영천,초,매각,영천시 화북면 오산리 775,33,0.5377049180327867
gyeongbook,옥계초 금포분교장,2000,구미,초,매각,구미시 금전동 412,25,0.4327868852459018
gyeongbook,옥대초 마락분교,1991,영주,초,매각,영주시 단산면 마락리 319-2,34,0.5508196721311475
gyeongbook,옥대초 좌석분교,1994,영주,초,매각,영주시 단산면 좌석리 89-2,31,0.5114754098360655
gyeongbook,옥대초등학교단산분교장,1994,영주,초,대부,영주시 부석면 병산리 343,31,0.7081967213114756
gyeongbook,옥산초등학교,1995,영덕,초,매각,영덕군 달산면 옥산리 314,30,0.4983606557377048
gyeongbook,옥산초등학교인성분교장,1997,상주,초,매각,상주시 공성면 우하리 524,28,0.47213114754098384
gyeongbook,옥산초등학교하강분교장,2000,경주,초,대부,경주시 안강읍 하곡리 632,25,0.6295081967213115
gyeongbook,옥전초신계분교장,1992,의성,초,매각,의성군 옥산면 신계리 314-1,33,0.5377049180327867
gyeongbook,옥전초오류분교장,1999,의성,초,매각,의성군 옥산면 오류리 376-1,26,0.4459016393442625
gyeongbook,옥전초옥성분교장,1992,의성,초,매각,의성군 옥산면 실업리 565-1,33,0.5377049180327867
gyeongbook,온양초등학교,1997,울진,초,자체활용,울진군 울진읍 온양리 224-9,28,0.5704918032786884
gyeongbook,온정초선미분교장 ,1999,울진,초,매각,울진군 온정면 선구리 623,26,0.4459016393442625
gyeongbook,온정초조금분교장 ,1995,울진,초,매각,울진군 온정면 조금리 185,30,0.4983606557377048
gyeongbook,온혜초등학교 가송분교장,1996,안동,초,매각,안동시 도산면 가송리 762-5,29,0.4852459016393441
gyeongbook,온혜초등학교 예안분교장,2009,안동,초,매각,안동시 도산면 서부리 211-1,16,0.3147540983606558
gyeongbook,온혜초등학교 의일분교장,1995,안동,초,매각,안동시 도산면 의일리 217-1,30,0.4983606557377048
gyeongbook,온혜초등학교 태자분교장,1993,안동,초,매각,안동시 도산면 태자리 562-2,32,0.524590163934426
gyeongbook,와룡초등학교 대동분교장,1995,안동,초,매각,안동시 와룡면 도곡리 315 ,30,0.4983606557377048
gyeongbook,와룡초등학교 산야분교장,1992,안동,초,매각,안동시 와룡면 산야리 1223,33,0.5377049180327867
gyeongbook,와룡초등학교나소분교장,1995,안동,초,대부,안동시 와룡면 라소리 628-1,30,0.6950819672131149
gyeongbook,왕산초등학교,1994,경주,초,대부,경주시 암곡동 389,31,0.7081967213114756
gyeongbook,외남초등학교삼남분교장,2013,상주,초,미활용,상주시 외남면 신촌리 467,12,0.6065573770491802
gyeongbook,외서초등학교갈곡분교장,1995,상주,초,매각,상주시 외서면 대전리 47-2,30,0.4983606557377048
gyeongbook,외서초등학교배영분교장,1999,상주,초,대부,상주시 외서면 봉강리 139,26,0.6426229508196722
gyeongbook,외서초등학교우서분교장,1999,상주,초,매각,상주시 외서면 우산리 223,26,0.4459016393442625
gyeongbook,용강초등학교,1995,경산,초,매각,경산시 용성면 용천리 152-2,30,0.4983606557377048
gyeongbook,용곡초등학교,1998,상주,초,매각,상주시 함창읍 신흥리 274,27,0.4590163934426231
gyeongbook,용궁상업고등학교,2006,예천,고,자체활용,예천군 용궁면 읍부리 251-3,19,0.2557377049180328
gyeongbook,용궁초 장평분교,2009,예천,초,매각,예천군 용궁면 월오리 690,16,0.3147540983606558
gyeongbook,용대초,1999,예천,초,매각,예천군 용궁면 대제리 225,26,0.4459016393442625
gyeongbook,용문초 선동분교,1995,예천,초,매각,예천군 용문면 선리 93-2,30,0.4983606557377048
gyeongbook,용문초 용서분교,1995,예천,초,매각,예천군 용문면 두천리 438-1,30,0.4983606557377048
gyeongbook,용산초등학교,2007,청도,초,자체활용,청도군 청도읍 무등리 371-4,18,0.43934426229508194
